log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition,model
-8.667438696294642,0.1994725330795095,250.08745211739173,1.6031920494581289,44.675324675324674,29.48051948051948,25.844155844155843,3.6550093270195902,6.336323822399112,6.6488164811922,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1,GMM
-8.79719718982142,0.19776538066919067,247.29652593329925,1.6126821217709324,43.506493506493506,29.740259740259738,26.75324675324675,3.62545053046781,6.32466502158021,6.582082418873788,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1,GMM
-8.87776605583823,0.19753326086166997,246.10609833669452,1.6133842129565965,43.37662337662337,30.129870129870127,26.49350649350649,3.6261479046578504,6.300540844808763,6.597668234241323,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1,GMM
-8.789951704125013,0.1673539254441842,2716.030439279827,1.854646514245191,44.039855072463766,28.795289855072465,27.164855072463766,3.732996782309321,5.921894242534637,6.045390401591862,11040.0,60.0,4,Exp1_Synth_to_Synth,Synthetic_Baseline,GMM
0.0,0.02784178218534633,705.5375804434142,4.451228874572263,32.608695652173914,34.07608695652174,33.315217391304344,3.17561814593223,4.908766711428104,6.853358421215596,11040.0,60.0,4,Exp1_Synth_to_Synth,Synthetic_Baseline,Severity_Tercile
0.0,0.17941217871301376,2841.2323012270717,1.7771151706430082,44.82789855072464,28.315217391304348,26.856884057971016,3.654601806267138,6.022065544079708,6.13627545934917,11040.0,60.0,4,Exp1_Synth_to_Synth,Synthetic_Baseline,KMeans
-8.208777339088966,0.2166344855649402,354.1165634283611,1.5292352108287355,41.70353982300885,30.199115044247787,28.097345132743364,3.498580068415528,6.344409720345237,6.831616420537981,904.0,12.0,4,Exp2_Real_to_Real,Real_Only_Baseline,GMM
0.0,0.03651454699815531,67.86712734460336,3.864306655397044,34.51327433628318,32.743362831858406,32.743362831858406,3.0666769984779054,5.145637439191714,7.791578394384112,904.0,12.0,4,Exp2_Real_to_Real,Real_Only_Baseline,Severity_Tercile
0.0,0.23100461233480607,370.84027313409246,1.4624182435959063,44.80088495575221,30.30973451327434,24.88938053097345,3.530274792474231,6.362844510205055,7.169059660068011,904.0,12.0,4,Exp2_Real_to_Real,Real_Only_Baseline,KMeans
-9.236693960194124,0.2060380052802397,314.7006223786668,1.566876516813655,40.48672566371682,30.973451327433626,28.539823008849556,3.472309868183257,6.307172853844801,6.78040813733308,904.0,12.0,4,Exp3_Synth_to_Real,ZeroShot_Transfer,GMM
